Case #,Case Status,Created by,Created on,First Contact Date,Incident Date,Incident Time,Incident Address,Incident Intersection,Incident City,Incident State,Incident Zip Code,Incident Latitude,Incident Longitude,Incident District,Additional Incident Location Info,Classification,Intake Source,How did you hear about us?,PGB Case Number,Complaint Type,Complainant,Civilian Complainant Name,Civilian Complainant Gender Identity,Civilian Complainant Race/Ethnicity,Civilian Complainant Age on Incident Date,Civilian Complainant Phone Number,Civilian Complainant Email,Civilian Complainant Address,Civilian Complainant City,Civilian Complainant State,Civilian Complainant Zip Code,Civilian Complainant Latitude,Civilian Complainant Longitude,Civilian Complainant Additional Address Information,Civilian Complainant Notes,Officer Complainant Case Officer Database ID,Officer Complainant Name,Officer Complainant Employee ID,Officer Complainant Rank/Title,Officer Complainant Supervisor Name,Officer Complainant Supervisor Employee ID,Officer Complainant Employee Type,Officer Complainant District,Officer Complainant Bureau,Officer Complainant Status,Officer Complainant Hire Date,Officer Complainant End of Employment,Officer Complainant Race,Officer Complainant Sex,Officer Complainant Age on Incident Date,Officer Complainant Notes,Number of Witnesses,Narrative Summary,Narrative Details,Accused Officer Case Officer Database ID,Accused Officer Name,Accused Officer Employee ID,Accused Officer Rank/Title,Accused Officer Supervisor Name,Accused Officer Supervisor Employee ID,Accused Officer Employee Type,Accused Officer District,Accused Officer Bureau,Accused Officer Status,Accused Officer Hire Date,Accused Officer End of Employment,Accused Officer Race,Accused Officer Sex,Accused Officer Age on Incident Date,Accused Officer Notes,Allegation Rule,Allegation Paragraph,Allegation Directive,Allegation Details,Allegation Severity,Types of Attachments
PiC2024-0244,,vwong@thoughtworks.com,05/13/2024 09:10:31 CDT,05/13/2024,,,,,,,,,,,,,,,,Civilian Initiated,Civilian,TestCypressFirst TestCypressLast,,,N/A,(123) 123-1234,,,,,,,,,,,,,,,,,,,,,,,,N/A,,0,,,,Unknown Officer,,,,,,,,,,,,,N/A,,,,,,,
PiC2024-0245,,vwong@thoughtworks.com,05/13/2024 09:11:04 CDT,05/13/2024,,,,,,,,,,,,,,,,Civilian Initiated,Civilian,TestCypressFirst TestCypressLast,,,N/A,(123) 123-1234,,,,,,,,,,,,,,,,,,,,,,,,N/A,,0,,,,Unknown Officer,,,,,,,,,,,,,N/A,,,,,,,
PiC2024-0246,,vwong@thoughtworks.com,05/13/2024 09:11:46 CDT,05/13/2024,,,,,,,,,,,,Serious Misconduct,,,,Civilian Initiated,Civilian,TestCypressFirst TestCypressLast,,,N/A,(123) 123-1234,,,,,,,,,,,,,,,,,,,,,,,,N/A,,1,Test Narrative Summary,<p>Test Narrative Description</p>,1947,Gideon B Abshire,29281,POLICE RECRUIT FIELD,,3655,Commissioned,2nd District,FOB - Field Operations Bureau,Active,07/17/2016,,White,M,N/A,,,,,,,"pdf, pdf"
PiC2024-0246,,vwong@thoughtworks.com,05/13/2024 09:11:46 CDT,05/13/2024,,,,,,,,,,,,Use of Force,,,,Civilian Initiated,Civilian,TestCypressFirst TestCypressLast,,,N/A,(123) 123-1234,,,,,,,,,,,,,,,,,,,,,,,,N/A,,1,Test Narrative Summary,<p>Test Narrative Description</p>,1947,Gideon B Abshire,29281,POLICE RECRUIT FIELD,,3655,Commissioned,2nd District,FOB - Field Operations Bureau,Active,07/17/2016,,White,M,N/A,,,,,,,"pdf, pdf"
PiC2024-0247,,vwong@thoughtworks.com,05/13/2024 11:02:26 CDT,05/13/2024,,,,,,,,,,,,,,,,Civilian Initiated,Civilian,Test Test,,,N/A,(123) 123-1123,,,,,,,,,,,,,,,,,,,,,,,,N/A,,0,,,,Unknown Officer,,,,,,,,,,,,,N/A,,,,,,,
PiC2024-0251,,vwong@thoughtworks.com,05/13/2024 12:26:03 CDT,05/13/2024,,,,,,,,,,,,,,,,Civilian Initiated,Civilian,Test Test,,,N/A,(123) 123-1233,,,,,,,,,,,,,,,,,,,,,,,,N/A,,0,,,,Unknown Officer,,,,,,,,,,,,,N/A,,,,,,,
PiC2024-0254,,vwong@thoughtworks.com,05/13/2024 14:11:48 CDT,05/13/2024,,,,,,,,,,,,,,,,Civilian Initiated,Civilian,TestCypressFirst TestCypressLast,,,N/A,(123) 123-1234,,,,,,,,,,,,,,,,,,,,,,,,N/A,,0,,,,Unknown Officer,,,,,,,,,,,,,N/A,,,,,,,
PiC2024-0255,,vwong@thoughtworks.com,05/13/2024 14:16:26 CDT,05/13/2024,,,,,,,,,,,,Serious Misconduct,,,,Civilian Initiated,Civilian,TestCypressFirst TestCypressLast,,,N/A,(123) 123-1234,,,,,,,,,,,,,,,,,,,,,,,,N/A,,1,Test Narrative Summary,<p>Test Narrative Description</p>,1950,Gideon B Abshire,29281,POLICE RECRUIT FIELD,,3655,Commissioned,2nd District,FOB - Field Operations Bureau,Active,07/17/2016,,White,M,N/A,,,,,,,
PiC2024-0256,,vwong@thoughtworks.com,05/13/2024 14:17:16 CDT,05/13/2024,,,,,,,,,,,,Serious Misconduct,,,,Civilian Initiated,Civilian,TestCypressFirst TestCypressLast,,,N/A,(123) 123-1234,,,,,,,,,,,,,,,,,,,,,,,,N/A,,1,Test Narrative Summary,<p>Test Narrative Description</p>,1952,Gideon B Abshire,29281,POLICE RECRUIT FIELD,,3655,Commissioned,2nd District,FOB - Field Operations Bureau,Active,07/17/2016,,White,M,N/A,,,,,,,"pdf, pdf"
PiC2024-0256,,vwong@thoughtworks.com,05/13/2024 14:17:16 CDT,05/13/2024,,,,,,,,,,,,Use of Force,,,,Civilian Initiated,Civilian,TestCypressFirst TestCypressLast,,,N/A,(123) 123-1234,,,,,,,,,,,,,,,,,,,,,,,,N/A,,1,Test Narrative Summary,<p>Test Narrative Description</p>,1952,Gideon B Abshire,29281,POLICE RECRUIT FIELD,,3655,Commissioned,2nd District,FOB - Field Operations Bureau,Active,07/17/2016,,White,M,N/A,,,,,,,"pdf, pdf"
PiC2024-0252,,pdm@publicdata.works,05/13/2024 12:34:03 CDT,05/13/2024,,,,,,,,,,,,Use of Force,,,,Civilian Initiated,Civilian,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,0,,,1948,Dayne S Aufderhar,15146,POLICE OFFICER 3,,742,Commissioned,5th District,FOB - Field Operations Bureau,Terminated,11/10/2002,,Black / African American,M,N/A,,,,,,,
PiC2024-0253,,pdm@publicdata.works,05/13/2024 13:51:47 CDT,05/13/2024,,,,,,,,,,,,,,,,Civilian Initiated,Civilian,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,0,,,,Unknown Officer,,,,,,,,,,,,,N/A,,,,,,,
PiC2024-0250,,pdm@publicdata.works,05/13/2024 11:57:16 CDT,05/13/2024,,,,,,,,,,,,,,,,Civilian Initiated,Civilian,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,0,,,,Unknown Officer,,,,,,,,,,,,,N/A,,,,,,,
PiC2024-0243,,pdm@publicdata.works,05/13/2024 08:33:53 CDT,05/13/2024,,,,,,,,,,,,,,,,Civilian Initiated,Civilian,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,0,,,,Unknown Officer,,,,,,,,,,,,,N/A,,,,,,,"pdf, pdf, pdf, pdf, pdf, pdf, pdf, pdf, pdf, pdf, pdf, pdf, pdf, pdf, pdf, pdf, pdf, pdf, pdf, pdf"
