officerNumber,firstName,middleName,lastName,rank,workStatus,endDate,sex,race,hireDate,bureau,district,windowsUsername,employeeType,supervisorOfficerNumber
6433,Alysa,Q,Streich,NULL,NULL,NULL,Unknown Sex,Unknown Race,NULL,NULL,NULL,NULL,NULL,NULL
6432,Ignacio,I,Reynolds,NULL,NULL,NULL,Unknown Sex,Unknown Race,NULL,NULL,NULL,NULL,NULL,NULL
6431,Stone,G,McKenzie,POLICE RECRUIT ACADEMY,Active,NULL,F,White,2017-11-26,MSB - Management Service Bureau,NULL,30326,Non-Commissioned,6072
6430,Keon,C,Kirlin,Police Human Resource Administ,Active,NULL,M,White,2017-11-12,MSB - Management Service Bureau,NULL,30324,Non-Commissioned,330
6429,Beth,U,Beer,NULL,NULL,NULL,Unknown Sex,Unknown Race,NULL,NULL,NULL,NULL,NULL,NULL
6428,Roel,Y,Keeling,POLICE AIDE,Active,NULL,M,Black / African American,2017-11-12,MSB - Management Service Bureau,NULL,30303,Non-Commissioned,3802
6427,Maudie,P,Hackett,POLICE RECRUIT ACADEMY,Active,NULL,M,White,2017-11-12,MSB - Management Service Bureau,NULL,30306,Non-Commissioned,6072
6426,Earline,S,Medhurst,POLICE AIDE,Active,NULL,F,White,2017-11-12,MSB - Management Service Bureau,NULL,30307,Non-Commissioned,6072
6425,Samara,M,Jerde,POLICE OFFICER 1,Active,NULL,M,White,2017-11-12,MSB - Management Service Bureau,NULL,30313,Non-Commissioned,3802
6424,Colton,E,Stroman,NULL,NULL,NULL,Unknown Sex,Unknown Race,NULL,Not - NOPD Officer,NULL,NULL,NULL,NULL
6423,Martina,W,Larkin,NULL,NULL,NULL,Unknown Sex,Unknown Race,NULL,NULL,NULL,NULL,NULL,NULL
6422,Shannon,J,Schroeder,POLICE AIDE,Active,NULL,M,Black / African American,2017-10-29,MSB - Management Service Bureau,NULL,30288,Non-Commissioned,3802
6421,Karianne,G,Fisher,NULL,NULL,NULL,Unknown Sex,Unknown Race,NULL,NULL,NULL,NULL,NULL,NULL
6419,Donnie,K,Pouros,NULL,NULL,NULL,Unknown Sex,Unknown Race,NULL,NULL,NULL,NULL,NULL,NULL
6418,Adeline,C,Botsford,POLICE AIDE,Active,NULL,M,Black / African American,2017-10-29,MSB - Management Service Bureau,NULL,30276,Non-Commissioned,3802
6417,Manuela,H,Abshire,POLICE AIDE,Active,NULL,F,White,2017-10-29,MSB - Management Service Bureau,NULL,30277,Non-Commissioned,3802
6416,Elijah,V,Wilderman,POLICE RECRUIT ACADEMY,Active,NULL,F,Black / African American,2017-10-29,MSB - Management Service Bureau,NULL,30278,Non-Commissioned,3802
6415,Isabel,K,Emmerich,POLICE AIDE,Terminated,NULL,F,Black / African American,2017-10-29,MSB - Management Service Bureau,NULL,30279,Non-Commissioned,3802
